time	V(out_1)	V(out_2)	V(out_3)	V(out_4)
1.314289274260329e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.328903559974623e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.329003559974623e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.341289274260344e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.353574988546066e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.365860702831787e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.378146417117508e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.390432131403229e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.402717845688951e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.415003559974672e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.417332131403245e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.419660702831817e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.421989274260390e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.424317845688963e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.426646417117536e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.428974988546108e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.431303559974681e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.431403559974681e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.446017845688975e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.460632131403269e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.475246417117563e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.489860702831857e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.504474988546151e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.519089274260445e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.533703559974739e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.533803559974739e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.548417845689033e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.563032131403327e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.577646417117621e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.592260702831915e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.606874988546209e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.621489274260503e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.636103559974797e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.636203559974797e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.650817845689091e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
