time	V(s)	V(s1)	V(s2)	V(s3)
3.197642857143048e-05	2.199079e-01	2.199824e-01	2.199397e-01	2.198968e-01
3.343785714285929e-05	2.382854e-01	2.383735e-01	2.383231e-01	2.382723e-01
3.489928571428809e-05	2.561982e-01	2.563008e-01	2.562421e-01	2.561830e-01
3.636071428571690e-05	2.736462e-01	2.737641e-01	2.736966e-01	2.736288e-01
3.782214285714570e-05	2.906295e-01	2.907636e-01	2.906868e-01	2.906097e-01
3.928357142857451e-05	3.071480e-01	3.072992e-01	3.072126e-01	3.071257e-01
4.074500000000331e-05	3.232018e-01	3.233709e-01	3.232740e-01	3.231769e-01
4.075500000000331e-05	3.233105e-01	3.234797e-01	3.233828e-01	3.232855e-01
4.221642857143212e-05	3.389599e-01	3.391478e-01	3.390401e-01	3.389323e-01
4.367785714286092e-05	3.542432e-01	3.544504e-01	3.543317e-01	3.542128e-01
4.513928571428973e-05	3.691604e-01	3.693875e-01	3.692574e-01	3.691272e-01
4.660071428571853e-05	3.837115e-01	3.839591e-01	3.838172e-01	3.836753e-01
4.806214285714734e-05	3.978966e-01	3.981652e-01	3.980112e-01	3.978574e-01
4.952357142857615e-05	4.117155e-01	4.120059e-01	4.118394e-01	4.116732e-01
5.098500000000495e-05	4.251684e-01	4.254811e-01	4.253018e-01	4.251229e-01
5.099500000000495e-05	4.252595e-01	4.255724e-01	4.253929e-01	4.252140e-01
5.245642857143374e-05	4.383905e-01	4.387263e-01	4.385337e-01	4.383418e-01
5.391785714286253e-05	4.512269e-01	4.515859e-01	4.513800e-01	4.511748e-01
5.537928571429131e-05	4.637684e-01	4.641511e-01	4.639316e-01	4.637130e-01
5.684071428572010e-05	4.760153e-01	4.764221e-01	4.761887e-01	4.759565e-01
5.830214285714889e-05	4.879674e-01	4.883987e-01	4.881512e-01	4.879051e-01
5.976357142857768e-05	4.996247e-01	5.000810e-01	4.998191e-01	4.995590e-01
6.122500000000646e-05	5.109873e-01	5.114690e-01	5.111925e-01	5.109180e-01
6.123500000000646e-05	5.110644e-01	5.115462e-01	5.112696e-01	5.109950e-01
6.269642857143427e-05	5.221638e-01	5.226714e-01	5.223799e-01	5.220908e-01
6.415785714286209e-05	5.330194e-01	5.335529e-01	5.332466e-01	5.329428e-01
6.561928571428990e-05	5.436311e-01	5.441909e-01	5.438694e-01	5.435509e-01
6.708071428571772e-05	5.539990e-01	5.545852e-01	5.542485e-01	5.539151e-01
6.854214285714553e-05	5.641230e-01	5.647360e-01	5.643839e-01	5.640353e-01
7.000357142857335e-05	5.740031e-01	5.746432e-01	5.742754e-01	5.739117e-01
7.146500000000116e-05	5.836394e-01	5.843068e-01	5.839233e-01	5.835443e-01
7.147500000000115e-05	5.837047e-01	5.843722e-01	5.839886e-01	5.836095e-01
7.293642857142896e-05	5.931194e-01	5.938144e-01	5.934150e-01	5.930205e-01
7.439785714285679e-05	6.023260e-01	6.030486e-01	6.026333e-01	6.022233e-01
7.585928571428459e-05	6.113244e-01	6.120747e-01	6.116434e-01	6.112180e-01
7.732071428571242e-05	6.201147e-01	6.208928e-01	6.204455e-01	6.200045e-01
7.878214285714023e-05	6.286969e-01	6.295029e-01	6.290394e-01	6.285828e-01
8.024357142856805e-05	6.370709e-01	6.379049e-01	6.374252e-01	6.369531e-01
8.170499999999586e-05	6.452367e-01	6.460988e-01	6.456029e-01	6.451151e-01
8.171499999999585e-05	6.452920e-01	6.461543e-01	6.456583e-01	6.451704e-01
8.317642857142366e-05	6.532652e-01	6.541556e-01	6.536434e-01	6.531398e-01
8.463785714285148e-05	6.610541e-01	6.619726e-01	6.614442e-01	6.609251e-01
8.609928571427929e-05	6.686588e-01	6.696052e-01	6.690606e-01	6.685260e-01
8.756071428570712e-05	6.760792e-01	6.770535e-01	6.764928e-01	6.759428e-01
8.902214285713492e-05	6.833154e-01	6.843174e-01	6.837407e-01	6.831753e-01
9.048357142856275e-05	6.903673e-01	6.913970e-01	6.908042e-01	6.902235e-01
9.194499999999056e-05	6.972349e-01	6.982923e-01	6.976835e-01	6.970875e-01
9.195499999999055e-05	6.972814e-01	6.983389e-01	6.977299e-01	6.971339e-01
9.341642857141836e-05	7.039750e-01	7.050599e-01	7.044351e-01	7.038240e-01
9.487785714284618e-05	7.104979e-01	7.116099e-01	7.109694e-01	7.103434e-01
9.633928571427399e-05	7.168500e-01	7.179887e-01	7.173327e-01	7.166921e-01
9.780071428570181e-05	7.230314e-01	7.241965e-01	7.235251e-01	7.228702e-01
9.926214285712962e-05	7.290421e-01	7.302331e-01	7.295467e-01	7.288776e-01
1.007235714285574e-04	7.348820e-01	7.360986e-01	7.353973e-01	7.347143e-01
1.021849999999853e-04	7.405512e-01	7.417930e-01	7.410770e-01	7.403803e-01
1.021949999999852e-04	7.405894e-01	7.418314e-01	7.411153e-01	7.404186e-01
1.036564285714131e-04	7.460937e-01	7.473605e-01	7.466300e-01	7.459199e-01
1.051178571428409e-04	7.514294e-01	7.527201e-01	7.519757e-01	7.512527e-01
1.065792857142687e-04	7.565965e-01	7.579102e-01	7.571524e-01	7.564171e-01
1.080407142856965e-04	7.615950e-01	7.629309e-01	7.621601e-01	7.614130e-01
1.095021428571243e-04	7.664249e-01	7.677822e-01	7.669988e-01	7.662405e-01
1.109635714285521e-04	7.710861e-01	7.724640e-01	7.716685e-01	7.708995e-01
1.124249999999800e-04	7.755787e-01	7.769763e-01	7.761692e-01	7.753900e-01
1.124349999999799e-04	7.756089e-01	7.770066e-01	7.761995e-01	7.754201e-01
1.138664285714078e-04	7.798474e-01	7.812634e-01	7.804455e-01	7.796567e-01
1.152978571428356e-04	7.839096e-01	7.853420e-01	7.845144e-01	7.837174e-01
1.167292857142634e-04	7.877955e-01	7.892426e-01	7.884062e-01	7.876020e-01
1.181607142856913e-04	7.915051e-01	7.929650e-01	7.921209e-01	7.913107e-01
1.195921428571191e-04	7.950384e-01	7.965094e-01	7.956586e-01	7.948434e-01
1.210235714285469e-04	7.983953e-01	7.998756e-01	7.990192e-01	7.982001e-01
1.224549999999748e-04	8.015760e-01	8.030637e-01	8.022026e-01	8.013808e-01
1.226749999999746e-04	8.020463e-01	8.035347e-01	8.026732e-01	8.018511e-01
1.236835714285455e-04	8.041515e-01	8.056432e-01	8.047795e-01	8.039566e-01
1.246921428571165e-04	8.061495e-01	8.076426e-01	8.067778e-01	8.059553e-01
1.257007142856874e-04	8.080404e-01	8.095329e-01	8.086682e-01	8.078472e-01
1.267092857142583e-04	8.098242e-01	8.113142e-01	8.104506e-01	8.096323e-01
1.277178571428292e-04	8.115008e-01	8.129864e-01	8.121250e-01	8.113106e-01
1.287264285714001e-04	8.130703e-01	8.145496e-01	8.136915e-01	8.128821e-01
1.297349999999710e-04	8.145327e-01	8.160037e-01	8.151500e-01	8.143468e-01
1.301878571428279e-04	8.151472e-01	8.166135e-01	8.157623e-01	8.149626e-01
1.306407142856848e-04	8.157355e-01	8.171964e-01	8.163482e-01	8.155522e-01
1.310935714285417e-04	8.162975e-01	8.177525e-01	8.169075e-01	8.161157e-01
1.315464285713986e-04	8.168334e-01	8.182817e-01	8.174403e-01	8.166531e-01
1.319992857142555e-04	8.173430e-01	8.187841e-01	8.179467e-01	8.171643e-01
1.324521428571124e-04	8.178263e-01	8.192597e-01	8.184265e-01	8.176493e-01
1.329049999999693e-04	8.182834e-01	8.197083e-01	8.188798e-01	8.181083e-01
1.329149999999693e-04	8.182932e-01	8.197179e-01	8.188895e-01	8.181180e-01
1.336421428571118e-04	8.189716e-01	8.203813e-01	8.195613e-01	8.187997e-01
1.343692857142543e-04	8.195678e-01	8.209604e-01	8.201499e-01	8.193995e-01
1.350964285713968e-04	8.200817e-01	8.214553e-01	8.206553e-01	8.199173e-01
1.358235714285393e-04	8.205134e-01	8.218658e-01	8.210776e-01	8.203532e-01
1.365507142856817e-04	8.208627e-01	8.221921e-01	8.214167e-01	8.207071e-01
1.372778571428242e-04	8.211298e-01	8.224341e-01	8.216727e-01	8.209791e-01
1.380049999999667e-04	8.213146e-01	8.225918e-01	8.218455e-01	8.211692e-01
1.381349999999666e-04	8.213369e-01	8.226090e-01	8.218655e-01	8.211924e-01
1.382649999999666e-04	8.213561e-01	8.226231e-01	8.218825e-01	8.212126e-01
1.383949999999665e-04	8.213724e-01	8.226342e-01	8.218965e-01	8.212298e-01
1.385249999999664e-04	8.213856e-01	8.226423e-01	8.219074e-01	8.212441e-01
1.386549999999664e-04	8.213959e-01	8.226473e-01	8.219154e-01	8.212554e-01
1.387849999999663e-04	8.214032e-01	8.226494e-01	8.219204e-01	8.212637e-01
1.389149999999662e-04	8.214075e-01	8.226483e-01	8.219223e-01	8.212691e-01
1.390321428571090e-04	8.214088e-01	8.226448e-01	8.219215e-01	8.212713e-01
1.391492857142518e-04	8.214077e-01	8.226387e-01	8.219181e-01	8.212711e-01
1.392664285713946e-04	8.214040e-01	8.226302e-01	8.219123e-01	8.212684e-01
1.393835714285374e-04	8.213979e-01	8.226191e-01	8.219040e-01	8.212632e-01
1.395007142856802e-04	8.213893e-01	8.226056e-01	8.218932e-01	8.212556e-01
1.396178571428230e-04	8.213783e-01	8.225896e-01	8.218799e-01	8.212455e-01
1.397349999999658e-04	8.213647e-01	8.225710e-01	8.218642e-01	8.212329e-01
1.400507142856799e-04	8.213156e-01	8.225082e-01	8.218090e-01	8.211865e-01
1.403664285713941e-04	8.212485e-01	8.224275e-01	8.217358e-01	8.211220e-01
1.406821428571082e-04	8.211635e-01	8.223290e-01	8.216448e-01	8.210396e-01
1.409978571428223e-04	8.210606e-01	8.222128e-01	8.215359e-01	8.209393e-01
1.413135714285364e-04	8.209397e-01	8.220787e-01	8.214090e-01	8.208209e-01
1.416292857142505e-04	8.208009e-01	8.219269e-01	8.212643e-01	8.206847e-01
1.419449999999647e-04	8.206441e-01	8.217573e-01	8.211017e-01	8.205304e-01
1.421164285713932e-04	8.205517e-01	8.216582e-01	8.210062e-01	8.204394e-01
1.422878571428216e-04	8.204546e-01	8.215545e-01	8.209061e-01	8.203435e-01
1.424592857142501e-04	8.203526e-01	8.214463e-01	8.208012e-01	8.202427e-01
1.426307142856786e-04	8.202458e-01	8.213335e-01	8.206916e-01	8.201372e-01
1.428021428571071e-04	8.201342e-01	8.212162e-01	8.205773e-01	8.200267e-01
1.429735714285356e-04	8.200178e-01	8.210943e-01	8.204583e-01	8.199114e-01
1.431449999999640e-04	8.198965e-01	8.209678e-01	8.203346e-01	8.197913e-01
1.431549999999640e-04	8.198893e-01	8.209603e-01	8.203273e-01	8.197842e-01
1.432092857142497e-04	8.198500e-01	8.209194e-01	8.202872e-01	8.197452e-01
1.432635714285354e-04	8.198102e-01	8.208780e-01	8.202467e-01	8.197058e-01
1.433178571428211e-04	8.197700e-01	8.208363e-01	8.202057e-01	8.196659e-01
1.433721428571068e-04	8.197293e-01	8.207942e-01	8.201644e-01	8.196255e-01
1.434264285713925e-04	8.196883e-01	8.207517e-01	8.201226e-01	8.195848e-01
1.434807142856782e-04	8.196468e-01	8.207088e-01	8.200804e-01	8.195436e-01
1.435349999999638e-04	8.196049e-01	8.206655e-01	8.200378e-01	8.195019e-01
1.438649999999637e-04	8.193414e-01	8.203971e-01	8.197708e-01	8.192400e-01
1.438849999999637e-04	8.193250e-01	8.203806e-01	8.197541e-01	8.192236e-01
1.441149999999635e-04	8.191326e-01	8.201888e-01	8.195610e-01	8.190320e-01
1.441349999999635e-04	8.191156e-01	8.201719e-01	8.195441e-01	8.190150e-01
1.441949999999635e-04	8.190644e-01	8.201212e-01	8.194931e-01	8.189638e-01
1.442149999999635e-04	8.190472e-01	8.201043e-01	8.194760e-01	8.189467e-01
1.445078571428205e-04	8.187927e-01	8.198532e-01	8.192227e-01	8.186918e-01
1.448007142856775e-04	8.185344e-01	8.195990e-01	8.189660e-01	8.184332e-01
1.450935714285345e-04	8.182724e-01	8.193414e-01	8.187057e-01	8.181706e-01
1.453864285713915e-04	8.180066e-01	8.190807e-01	8.184418e-01	8.179042e-01
1.456792857142484e-04	8.177370e-01	8.188167e-01	8.181745e-01	8.176340e-01
1.459721428571054e-04	8.174637e-01	8.185496e-01	8.179037e-01	8.173599e-01
1.462649999999624e-04	8.171866e-01	8.182791e-01	8.176293e-01	8.170819e-01
1.465149999999623e-04	8.169484e-01	8.180470e-01	8.173936e-01	8.168429e-01
1.467649999999622e-04	8.167090e-01	8.178138e-01	8.171567e-01	8.166026e-01
1.470149999999620e-04	8.164683e-01	8.175796e-01	8.169187e-01	8.163610e-01
1.472649999999619e-04	8.162263e-01	8.173444e-01	8.166795e-01	8.161181e-01
1.475149999999618e-04	8.159830e-01	8.171082e-01	8.164391e-01	8.158738e-01
1.477649999999617e-04	8.157384e-01	8.168709e-01	8.161976e-01	8.156282e-01
