time	V(out)	V(outr)
1.533450000000074e-03	1.009965e-01	1.026343e-01
1.533550000000074e-03	1.010218e-01	1.026600e-01
1.548164285714368e-03	1.047598e-01	1.064547e-01
1.562778571428661e-03	1.085505e-01	1.103025e-01
1.577392857142956e-03	1.123939e-01	1.142033e-01
1.592007142857250e-03	1.162900e-01	1.181572e-01
1.606621428571544e-03	1.202389e-01	1.221641e-01
1.621235714285837e-03	1.242404e-01	1.262241e-01
1.635850000000132e-03	1.282946e-01	1.303371e-01
1.635950000000132e-03	1.283225e-01	1.303654e-01
1.650564285714426e-03	1.324237e-01	1.345256e-01
1.665178571428719e-03	1.365646e-01	1.387254e-01
1.679792857143014e-03	1.407451e-01	1.429648e-01
1.694407142857308e-03	1.449653e-01	1.472439e-01
1.709021428571602e-03	1.492251e-01	1.515626e-01
1.723635714285895e-03	1.535245e-01	1.559209e-01
1.738250000000190e-03	1.578636e-01	1.603189e-01
1.738350000000190e-03	1.578934e-01	1.603491e-01
1.752964285714484e-03	1.622655e-01	1.647799e-01
1.767578571428777e-03	1.666637e-01	1.692365e-01
1.782192857143072e-03	1.710882e-01	1.737189e-01
1.796807142857366e-03	1.755387e-01	1.782272e-01
1.811421428571660e-03	1.800154e-01	1.827612e-01
1.826035714285953e-03	1.845183e-01	1.873211e-01
1.840650000000248e-03	1.890473e-01	1.919068e-01
1.840750000000248e-03	1.890783e-01	1.919382e-01
1.844821428571679e-03	1.903425e-01	1.932180e-01
1.848892857143109e-03	1.916080e-01	1.944992e-01
1.852964285714540e-03	1.928749e-01	1.957817e-01
1.857035714285971e-03	1.941432e-01	1.970655e-01
1.861107142857402e-03	1.954128e-01	1.983507e-01
1.865178571428833e-03	1.966839e-01	1.996372e-01
1.869250000000264e-03	1.979563e-01	2.009251e-01
1.871221428571693e-03	1.985728e-01	2.015491e-01
1.873192857143123e-03	1.991896e-01	2.021733e-01
1.875164285714553e-03	1.998067e-01	2.027979e-01
1.877135714285982e-03	2.004241e-01	2.034227e-01
1.879107142857412e-03	2.010417e-01	2.040477e-01
1.881078571428842e-03	2.016596e-01	2.046731e-01
1.883050000000272e-03	2.022778e-01	2.052986e-01
1.891621428571705e-03	2.049694e-01	2.080223e-01
1.900192857143138e-03	2.076647e-01	2.107495e-01
1.908764285714572e-03	2.103638e-01	2.134802e-01
1.917335714286005e-03	2.130666e-01	2.162144e-01
1.925907142857439e-03	2.157731e-01	2.189521e-01
1.934478571428872e-03	2.184833e-01	2.216933e-01
1.943050000000306e-03	2.211973e-01	2.244381e-01
1.943150000000306e-03	2.212290e-01	2.244701e-01
1.957764285714571e-03	2.258644e-01	2.291574e-01
1.972378571428836e-03	2.305018e-01	2.338460e-01
1.986992857143102e-03	2.351413e-01	2.385359e-01
2.001607142857367e-03	2.397828e-01	2.432270e-01
2.016221428571633e-03	2.444262e-01	2.479193e-01
2.030835714285898e-03	2.490717e-01	2.526129e-01
2.045450000000163e-03	2.537192e-01	2.573077e-01
2.045550000000163e-03	2.537510e-01	2.573398e-01
2.060164285714425e-03	2.583948e-01	2.620302e-01
2.074778571428688e-03	2.630312e-01	2.667121e-01
2.089392857142950e-03	2.676600e-01	2.713857e-01
2.104007142857212e-03	2.722813e-01	2.760510e-01
2.118621428571475e-03	2.768952e-01	2.807078e-01
2.133235714285737e-03	2.815015e-01	2.853564e-01
2.147849999999999e-03	2.861003e-01	2.899965e-01
2.147949999999999e-03	2.861317e-01	2.900282e-01
2.153249999999991e-03	2.877957e-01	2.917069e-01
2.158549999999982e-03	2.894580e-01	2.933839e-01
2.163849999999974e-03	2.911187e-01	2.950590e-01
2.169149999999965e-03	2.927776e-01	2.967323e-01
2.174449999999957e-03	2.944348e-01	2.984038e-01
2.179749999999948e-03	2.960903e-01	3.000735e-01
2.185049999999940e-03	2.977441e-01	3.017414e-01
2.188835714285648e-03	2.989242e-01	3.029314e-01
2.192621428571356e-03	3.001033e-01	3.041204e-01
2.196407142857064e-03	3.012814e-01	3.053083e-01
2.200192857142773e-03	3.024584e-01	3.064952e-01
2.203978571428481e-03	3.036345e-01	3.076809e-01
2.207764285714189e-03	3.048095e-01	3.088656e-01
2.211549999999897e-03	3.059835e-01	3.100491e-01
2.217078571428460e-03	3.076961e-01	3.117756e-01
2.222607142857022e-03	3.094061e-01	3.134994e-01
2.228135714285585e-03	3.111137e-01	3.152206e-01
2.233664285714147e-03	3.128188e-01	3.169391e-01
2.239192857142710e-03	3.145213e-01	3.186550e-01
2.244721428571273e-03	3.162214e-01	3.203682e-01
2.250249999999835e-03	3.179189e-01	3.220787e-01
2.250349999999835e-03	3.179496e-01	3.221096e-01
2.264964285714097e-03	3.224253e-01	3.266192e-01
2.279578571428360e-03	3.268791e-01	3.311058e-01
2.294192857142622e-03	3.313109e-01	3.355695e-01
2.308807142856884e-03	3.357207e-01	3.400103e-01
2.323421428571146e-03	3.401086e-01	3.444281e-01
2.338035714285409e-03	3.444745e-01	3.488231e-01
2.352649999999671e-03	3.488185e-01	3.531951e-01
2.352749999999671e-03	3.488481e-01	3.532250e-01
2.367364285713933e-03	3.531666e-01	3.575707e-01
2.381978571428196e-03	3.574583e-01	3.618887e-01
2.396592857142458e-03	3.617232e-01	3.661789e-01
2.411207142856720e-03	3.659612e-01	3.704414e-01
2.425821428570982e-03	3.701723e-01	3.746762e-01
2.440435714285245e-03	3.743565e-01	3.788832e-01
2.455049999999507e-03	3.785139e-01	3.830625e-01
2.455149999999507e-03	3.785422e-01	3.830909e-01
2.469764285713769e-03	3.826703e-01	3.872400e-01
2.484378571428032e-03	3.867682e-01	3.913581e-01
2.498992857142294e-03	3.908359e-01	3.954453e-01
2.513607142856556e-03	3.948736e-01	3.995016e-01
2.528221428570818e-03	3.988811e-01	4.035270e-01
2.542835714285081e-03	4.028585e-01	4.075214e-01
2.557449999999343e-03	4.068057e-01	4.114849e-01
2.557549999999343e-03	4.068326e-01	4.115119e-01
2.572164285713605e-03	4.107480e-01	4.154429e-01
